日期,今日是周几,今日是本年的第几周,今日是本年的第几天,是否节假日,本周的节假日有几天,距离下一个工作日有几天
2017-09-17,星期天,38,260,否,0,1
2017-09-18,星期一,39,261,否,0,1
2017-09-19,星期二,39,262,否,0,1
2017-09-20,星期三,39,263,否,0,1
2017-09-21,星期四,39,264,否,0,1
2017-09-22,星期五,39,265,否,0,2
2017-09-23,星期六,39,266,否,0,1
2017-09-24,星期天,39,267,否,0,1
2017-09-25,星期一,40,268,否,1,1
2017-09-26,星期二,40,269,否,1,1
2017-09-27,星期三,40,270,否,1,1
2017-09-28,星期四,40,271,否,1,1
2017-09-29,星期五,40,272,否,1,1
2017-09-30,星期六,40,273,否,1,9
2017-10-01,星期天,40,274,是,1,8
2017-10-02,星期一,41,275,是,7,7
2017-10-03,星期二,41,276,是,7,6
2017-10-04,星期三,41,277,是,7,5
2017-10-05,星期四,41,278,是,7,4
2017-10-06,星期五,41,279,是,7,3
2017-10-07,星期六,41,280,是,7,2
2017-10-08,星期天,41,281,是,7,1
2017-10-09,星期一,42,282,否,0,1
2017-10-10,星期二,42,283,否,0,1
2017-10-11,星期三,42,284,否,0,1
2017-10-12,星期四,42,285,否,0,1
2017-10-13,星期五,42,286,否,0,2
2017-10-14,星期六,42,287,否,0,1
2017-10-15,星期天,42,288,否,0,1
2017-10-16,星期一,43,289,否,0,1
2017-10-17,星期二,43,290,否,0,1
2017-10-18,星期三,43,291,否,0,1
2017-10-19,星期四,43,292,否,0,1
2017-10-20,星期五,43,293,否,0,2
2017-10-21,星期六,43,294,否,0,1
2017-10-22,星期天,43,295,否,0,1
2017-10-23,星期一,44,296,否,0,1
2017-10-24,星期二,44,297,否,0,1
2017-10-25,星期三,44,298,否,0,1
2017-10-26,星期四,44,299,否,0,1
2017-10-27,星期五,44,300,否,0,2
2017-10-28,星期六,44,301,否,0,1
2017-10-29,星期天,44,302,否,0,1
2017-10-30,星期一,45,303,否,0,1
2017-10-31,星期二,45,304,否,0,1
2017-11-01,星期三,45,305,否,0,1
2017-11-02,星期四,45,306,否,0,1
2017-11-03,星期五,45,307,否,0,2
2017-11-04,星期六,45,308,否,0,1
2017-11-05,星期天,45,309,否,0,1
2017-11-06,星期一,46,310,否,0,1
2017-11-07,星期二,46,311,否,0,1
2017-11-08,星期三,46,312,否,0,1
2017-11-09,星期四,46,313,否,0,1
2017-11-10,星期五,46,314,否,0,2
2017-11-11,星期六,46,315,否,0,1
2017-11-12,星期天,46,316,否,0,1
2017-11-13,星期一,47,317,否,0,1
2017-11-14,星期二,47,318,否,0,1
2017-11-15,星期三,47,319,否,0,1
2017-11-16,星期四,47,320,否,0,1
2017-11-17,星期五,47,321,否,0,2
2017-11-18,星期六,47,322,否,0,1
2017-11-19,星期天,47,323,否,0,1
2017-11-20,星期一,48,324,否,0,1
2017-11-21,星期二,48,325,否,0,1
2017-11-22,星期三,48,326,否,0,1
2017-11-23,星期四,48,327,否,0,1
2017-11-24,星期五,48,328,否,0,2
2017-11-25,星期六,48,329,否,0,1
2017-11-26,星期天,48,330,否,0,1
2017-11-27,星期一,49,331,否,0,1
2017-11-28,星期二,49,332,否,0,1
2017-11-29,星期三,49,333,否,0,1
2017-11-30,星期四,49,334,否,0,1
2017-12-01,星期五,49,335,否,0,2
2017-12-02,星期六,49,336,否,0,1
2017-12-03,星期天,49,337,否,0,1
2017-12-04,星期一,50,338,否,0,1
2017-12-05,星期二,50,339,否,0,1
2017-12-06,星期三,50,340,否,0,1
2017-12-07,星期四,50,341,否,0,1
2017-12-08,星期五,50,342,否,0,2
2017-12-09,星期六,50,343,否,0,1
2017-12-10,星期天,50,344,否,0,1
2017-12-11,星期一,51,345,否,0,1
2017-12-12,星期二,51,346,否,0,1
2017-12-13,星期三,51,347,否,0,1
